county,month,year,republicanfatalities
Galway,1,1919,0
Galway,2,1919,0
Galway,3,1919,0
Galway,4,1919,0
Galway,5,1919,0
Galway,6,1919,0
Galway,7,1919,0
Galway,8,1919,0
Galway,9,1919,0
Galway,10,1919,0
Galway,11,1919,0
Galway,12,1919,0
Galway,1,1920,0
Galway,2,1920,1
Galway,3,1920,0
Galway,4,1920,0
Galway,5,1920,0
Galway,6,1920,0
Galway,7,1920,1
Galway,8,1920,0
Galway,9,1920,2
Galway,10,1920,0
Galway,11,1920,0
Galway,12,1920,0
Galway,1,1921,0
Galway,2,1921,1
Galway,3,1921,0
Galway,4,1921,0
Galway,5,1921,0
Galway,6,1921,6
Galway,7,1921,0
Galway,8,1921,0
Galway,9,1921,0
Galway,10,1921,1
Galway,11,1921,0
Galway,12,1921,0
Kerry,1,1919,0
Kerry,2,1919,1
Kerry,3,1919,0
Kerry,4,1919,0
Kerry,5,1919,0
Kerry,6,1919,0
Kerry,7,1919,0
Kerry,8,1919,0
Kerry,9,1919,0
Kerry,10,1919,0
Kerry,11,1919,0
Kerry,12,1919,0
Kerry,1,1920,1
Kerry,2,1920,0
Kerry,3,1920,0
Kerry,4,1920,0
Kerry,5,1920,1
Kerry,6,1920,0
Kerry,7,1920,0
Kerry,8,1920,2
Kerry,9,1920,0
Kerry,10,1920,1
Kerry,11,1920,2
Kerry,12,1920,2
Kerry,1,1921,2
Kerry,2,1921,3
Kerry,3,1921,4
Kerry,4,1921,1
Kerry,5,1921,2
Kerry,6,1921,3
Kerry,7,1921,1
Kerry,8,1921,1
Kerry,9,1921,1
Kerry,10,1921,3
Kerry,11,1921,0
Kerry,12,1921,3
Kildare,1,1919,0
Kildare,2,1919,0
Kildare,3,1919,0
Kildare,4,1919,0
Kildare,5,1919,0
Kildare,6,1919,0
Kildare,7,1919,0
Kildare,8,1919,0
Kildare,9,1919,0
Kildare,10,1919,0
Kildare,11,1919,0
Kildare,12,1919,0
Kildare,1,1920,0
Kildare,2,1920,0
Kildare,3,1920,0
Kildare,4,1920,0
Kildare,5,1920,0
Kildare,6,1920,0
Kildare,7,1920,0
Kildare,8,1920,0
Kildare,9,1920,0
Kildare,10,1920,0
Kildare,11,1920,0
Kildare,12,1920,0
Kildare,1,1921,0
Kildare,2,1921,0
Kildare,3,1921,0
Kildare,4,1921,0
Kildare,5,1921,0
Kildare,6,1921,0
Kildare,7,1921,0
Kildare,8,1921,0
Kildare,9,1921,0
Kildare,10,1921,0
Kildare,11,1921,0
Kildare,12,1921,0
Kilkenny,1,1919,0
Kilkenny,2,1919,0
Kilkenny,3,1919,0
Kilkenny,4,1919,0
Kilkenny,5,1919,0
Kilkenny,6,1919,0
Kilkenny,7,1919,0
Kilkenny,8,1919,0
Kilkenny,9,1919,0
Kilkenny,10,1919,0
Kilkenny,11,1919,0
Kilkenny,12,1919,0
Kilkenny,1,1920,0
Kilkenny,2,1920,0
Kilkenny,3,1920,0
Kilkenny,4,1920,0
Kilkenny,5,1920,0
Kilkenny,6,1920,0
Kilkenny,7,1920,0
Kilkenny,8,1920,0
Kilkenny,9,1920,0
